,year,award year,movie,producers,winner,TMDB_id,imdb_id,budget,revenue,popularity,genre,adult,production_companies,release_date,vote_average,runtime(mins),average_rating_c,liked_count_c,not_liked_count_c,rating_count_c,state_c,value_c,average_rating_a,liked_count_a,not_liked_count_a,rating_count_a,review_count_a,value_a
0,2000,(73rd),Chocolat,"David Brown, Kit Golden and Leslie Holleran",False,392,tt0241303,25000000,152500343,16.956,Comedy,False,"['Fat Free', 'Miramax', 'David Brown Productions']",2000-12-22,7.0,121,6.0,75.0,44.0,119.0,fresh,63.0,4.0,35771,7232,329145,13002,83
1,2000,(73rd),"Crouching Tiger, Hidden Dragon","Bill Kong, Hsu Li Kong and Ang Lee",False,146,tt0190332,17000000,213525736,24.728,Adventure,False,"['China Film Co-Production Corporation', 'Columbia Pictures Film Production Asia', 'Good Machine', 'Asia Union Film & Entertainment Ltd.', 'United China Vision', 'Zoom Hunt International Productions Company Ltd.', 'Sony Pictures Classics', 'Edko Films', 'Ang Lee Productions', 'Columbia Pictures']",2000-07-06,7.41,120,8.7,166.0,4.0,170.0,certified-fresh,98.0,4.1,29180,4725,427892,13700,86
2,2000,(73rd),Erin Brockovich,"Danny DeVito, Michael Shamberg and Stacey Sher",False,462,tt0195685,52000000,256271286,23.903,Drama,False,['Jersey Films'],2000-03-17,7.42,131,7.5,127.0,23.0,150.0,certified-fresh,85.0,3.9,13393,3174,418943,8239,81
3,2000,(73rd),Gladiator,"Douglas Wick, David Franzoni and Branko Lustig",True,98,tt0172495,103000000,465361176,63.604,Action,False,"['Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz', 'DreamWorks Pictures']",2000-05-04,8.21,155,7.4,205.0,52.0,257.0,certified-fresh,80.0,3.8,170538,24401,34128168,1652336,87
4,2000,(73rd),Traffic,"Edward Zwick, Marshall Herskovitz and Laura Bickford",False,1900,tt0181865,48000000,207515725,22.661,Thriller,False,"['USA Films', 'Compulsion Inc.', 'Initial Entertainment Group', 'Splendid Medien AG', 'Bedford Falls Productions']",2000-12-27,7.051,147,,,,,,,3.8,170538,24401,34128168,1652336,87
5,2001,(74th),A Beautiful Mind,Brian Grazer and Ron Howard,True,453,tt0268978,58000000,316800000,80.643,Drama,False,"['Universal Pictures', 'DreamWorks Pictures', 'Imagine Entertainment', 'Brian Grazer Productions']",2001-12-14,7.855,135,7.2,159.0,55.0,214.0,certified-fresh,74.0,4.3,81609,6576,491448,20882,93
6,2001,(74th),Gosford Park,"Robert Altman, Bob Balaban and David Levy",False,5279,tt0280707,19800000,87754044,16.547,Drama,False,"['Sandcastle 5', 'Chicagofilms', 'Medusa Film']",2001-11-07,6.9,137,7.6,144.0,21.0,165.0,certified-fresh,87.0,3.8,6161,1742,48630,2471,78
7,2001,(74th),In the Bedroom,"Graham Leader, Ross Katz and Todd Field",False,1999,tt0247425,1700000,44763181,10.853,Drama,False,"['Good Machine', 'Standard Film Company', 'GreenStreet Films', 'Miramax']",2001-11-23,6.9,130,7.9,131.0,10.0,141.0,certified-fresh,93.0,3.9,2815,649,20189,1073,81
8,2001,(74th),The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Fran Walsh and Barrie M. Osborne",False,120,tt0120737,93000000,871368364,105.799,Adventure,False,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",2001-12-18,8.406,179,8.2,215.0,20.0,235.0,certified-fresh,91.0,4.1,167643,8379,1355751,80557,95
9,2001,(74th),Moulin Rouge,"Martin Brown, Baz Luhrmann and Fred Baron",False,824,tt0203009,52500000,179213434,20.111,Drama,False,"['20th Century Fox', 'Bazmark']",2001-05-24,7.575,128,7.1,193.0,66.0,259.0,certified-fresh,75.0,4.3,77624,9269,505633,35605,89
10,2002,(75th),Chicago,Martin Richard,True,1574,tt0299658,45000000,306776732,19.741,Comedy,False,"['Miramax', 'Kalis Productions GmbH & Co. Zweite KG', 'The Producer Circle Co.', 'Zadan / Meron Productions']",2002-12-10,7.1,113,8.0,227.0,36.0,263.0,certified-fresh,86.0,4.0,36407,7388,439772,17491,83
11,2002,(75th),Gangs of New York,Alberto Grimaldi and Harvey Weinstein,False,3131,tt0217505,100000000,193772504,27.288,Drama,False,"['Miramax', 'Touchstone Pictures', 'Initial Entertainment Group', 'Alberto Grimaldi Productions']",2002-12-14,7.32,168,7.0,156.0,59.0,215.0,certified-fresh,73.0,3.9,28820,6722,294825,11175,81
12,2002,(75th),The Hours,Scott Rudin and Robert Fox,False,590,tt0274558,25000000,41597830,18.382,Drama,False,"['Paramount', 'Miramax', 'Scott Rudin Productions', 'Robert Fox Productions']",2002-12-27,7.3,114,,,,,,,3.9,28820,6722,294825,11175,81
13,2002,(75th),The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Fran Walsh and Peter Jackson",False,121,tt0167261,79000000,926287400,80.402,Adventure,False,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",2002-12-18,8.388,179,8.5,246.0,12.0,258.0,certified-fresh,95.0,4.1,151447,8108,1341428,72895,95
